"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Private","2017",4434.781,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Total","2017",1378.224,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Public","2017",65.304,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Private","2017",1312.92,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Total","2014",7003.038,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Public","2014",722.463,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Private","2014",6280.575,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Total","2014",5318.809,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Public","2014",649.028,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Private","2014",4669.781,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Total","2014",1684.229,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Public","2014",73.435,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Private","2014",1610.794,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Total","2012",6419.616,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Public","2012",679.662,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Private","2012",5739.954,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Total","2012",5358.164,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Public","2012",588.958,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Private","2012",4769.206,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Total","2012",1061.452,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Public","2012",90.704,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Private","2012",970.748,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Total","2008",7486.564,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Public","2008",445.099,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Private","2008",7041.465,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Total","2008",4935.407,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Public","2008",381.42,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Private","2008",4553.987,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Total","2008",2551.157,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Public","2008",63.679,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Private","2008",2487.478,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Total","2021",11108.53,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Public","2021",948.327,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Private","2021",10160.202,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Total","2021",5447.86,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Public","2021",716.539,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Private","2021",4731.322,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Total","2021",5660.669,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Public","2021",231.788,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Private","2021",5428.881,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Total","2019",10213.36,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Public","2019",980.726,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Private","2019",9232.634,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Total","2019",5029.802,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Public","2019",740.025,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Private","2019",4289.777,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Total","2019",5183.558,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Public","2019",240.701,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Private","2019",4942.857,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Total","2014",5292.302,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Public","2014",770.83,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Private","2014",4521.472,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Total","2014",2917.747,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Public","2014",544.57,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Private","2014",2373.177,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Total","2014",2374.555,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Public","2014",226.26,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Private","2014",2148.295,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Total","2011",6790.408,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Public","2011",930.876,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Private","2011",5859.531,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Total","2011",3362.877,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Public","2011",667.82,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Private","2011",2695.057,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Total","2011",3427.531,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Public","2011",263.056,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Private","2011",3164.474,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Total","2009",5579.563,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Public","2009",853.449,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Private","2009",4726.115,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Total","2009",2871.308,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Public","2009",611.624,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Private","2009",2259.684,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Total","2009",2708.255,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Public","2009",241.824,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Private","2009",2466.431,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Total","2004",4471.418,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Public","2004",969.965,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Private","2004",3501.453,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Total","2004",2377.607,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Public","2004",741.792,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Private","2004",1635.815,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Total","2004",2093.811,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Public","2004",228.173,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Private","2004",1865.638,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Total","2022",1297.958,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Public","2022",196.448,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Private","2022",1101.511,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Total","2022",700.508,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Public","2022",98.241,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Private","2022",602.267,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Total","2022",597.451,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Public","2022",98.207,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Private","2022",499.244,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Total","2021",1247.947,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Public","2021",199.213,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Private","2021",1048.734,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Total","2021",692.929,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Public","2021",97.684,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Private","2021",595.245,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Total","2021",555.018,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Public","2021",101.529,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Private","2021",453.488,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Total","2019",1264.67,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Public","2019",182.608,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Private","2019",1082.062,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Total","2019",702.194,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Public","2019",91.922,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Private","2019",610.271,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Total","2019",562.476,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Public","2019",90.685,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Private","2019",471.791,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Total","2018",1228.957,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Public","2018",185.313,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Private","2018",1043.644,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Total","2018",689.436,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Public","2018",94.26,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Private","2018",595.176,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Total","2018",539.522,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Public","2018",91.053,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Female","Institutional sector: Private","2018",448.469,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Total","2017",1191.733,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Public","2017",187.036,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Total","Institutional sector: Private","2017",1004.698,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by sex and public/private sector (thousands)","Sex: Male","Institutional sector: Total","2017",677.134,,,"Repository: ILO-STATISTICS - Micro data processing"
