"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex (%)","Sex: Female","2004",89.021,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2023",50.445,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2023",50.789,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2023",50.011,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2022",51.196,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2022",51.439,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2022",50.885,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2021",49.142,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2021",49.251,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2021",48.999,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2020",46.981,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2020",47.576,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2020",46.216,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2019",49.918,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2019",50.065,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2019",49.726,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2018",48.73,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2018",48.455,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2018",49.086,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2017",48.563,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2017",49.118,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2017",47.817,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2014",47.2,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2014",47.519,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2014",46.754,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2013",47.764,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2013",48.29,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2013",47.023,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2012",48.166,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2012",47.994,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2012",48.408,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2011",48.083,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2011",47.496,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2011",48.919,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2010",48.918,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2010",48.254,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2010",49.848,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2009",50.14,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2009",49.74,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2009",50.685,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2008",50.714,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2008",49.709,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2008",52.121,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2006",55.684,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2006",54.156,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2006",57.793,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2005",58.462,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2005",56.812,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2005",60.757,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Total","2004",60.03,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Male","2004",58.173,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Sex: Female","2004",62.588,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Total","2022",49.841,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Male","2022",46.176,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Female","2022",53.205,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Total","2021",50.377,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Male","2021",48.033,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Female","2021",52.403,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Total","2020",49.35,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Male","2020",48.547,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Female","2020",50.064,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Total","2019",52.475,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Male","2019",50.592,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Female","2019",54.277,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Total","2018",56.463,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Male","2018",55.122,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Female","2018",57.802,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Total","2017",47.878,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Male","2017",48.409,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Female","2017",47.295,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Total","2016",49.91,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Male","2016",50.856,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Female","2016",48.865,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Total","2015",52.127,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Male","2015",52.823,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Female","2015",51.361,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Total","2014",59.118,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Male","2014",59.849,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Female","2014",58.328,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Informal employment rate by sex (%)","Sex: Total","2013",59.347,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Informal employment rate by sex (%)","Sex: Male","2013",59.866,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Informal employment rate by sex (%)","Sex: Female","2013",58.765,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Informal employment rate by sex (%)","Sex: Total","2012",61.027,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Informal employment rate by sex (%)","Sex: Male","2012",62.911,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Informal employment rate by sex (%)","Sex: Female","2012",58.974,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Informal employment rate by sex (%)","Sex: Total","2011",61.243,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Informal employment rate by sex (%)","Sex: Male","2011",62.826,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Informal employment rate by sex (%)","Sex: Female","2011",59.502,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Informal employment rate by sex (%)","Sex: Total","2009",52.926,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Informal employment rate by sex (%)","Sex: Male","2009",53.361,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Informal employment rate by sex (%)","Sex: Female","2009",52.428,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Total","2008",51.168,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Male","2008",52.147,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Informal employment rate by sex (%)","Sex: Female","2008",49.958,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Total","2021",26.105,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Male","2021",25.753,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Female","2021",26.488,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Total","2020",25.476,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Male","2020",24.41,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Female","2020",26.594,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Total","2019",26.357,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Male","2019",25.571,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Female","2019",27.206,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Total","2018",27.612,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Male","2018",26.146,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Female","2018",29.236,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Total","2017",28.206,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Male","2017",26.826,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Female","2017",29.738,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Informal employment rate by sex (%)","Sex: Total","2016",28.02,,,"Repository: ILO-STATISTICS - Micro data processing"
